title,genres,release_date,release_country,review_rating,movie_run_time,cast,language,filming_locations
Gut (2012),Drama| Horror| Thriller,26-10-2012,USA,3.9,91 min,Jason Vail|Nicholas Wilder|Sarah Schoofs|Kirstianna Mueller|Kaitlyn Mueller|Angie Bullaro|Ria Burns-Wilder|Miles Joris-Peyrafitte|Karl Pfeiffer|Leisa Haddad|Misty Gonzalez|Jordan Sariego|Christine Kadets|Deborah J. Atuk|J. Brett Rose,English,"New York, USA"
Treasure Chest of Horrors II (2013),Comedy| Horror| Thriller,23-04-2013,USA,3.7,82 min,Veronica Ricci|Nicholas Adam Clark|James Cullen Bressack|Nick Waugh|Shawn C. Phillips|Brent Buser|Miles Dougal|Joseph Frantz|M. Kelley|Brendan Mitchell|Joben Penuliar|Ethan Phillips|Kim Phillips|Stephen Phillips|Alex Powers,English,"Baltimore, Maryland, USA"
Parasyte: Part 2 (2015),Action| Drama| Horror| Sci-Fi,25-04-2015,Japan,6.5,117 min,Shôta Sometani|Eri Fukatsu|Ai Hashimoto|Sadao Abe|Satoshi Araki|Tadanobu Asano|Kazuki Kitamura|Jun Kunimura|Nao Ohmori|Pierre Taki,Japanese,"Tokyo, Japan"
Stranger in the House (2015),Horror| Mystery| Thriller,28-05-2017,Spain,4.6,90 min,Annabella Sciorra|Tammy Blanchard|Nathan Darrow|Dennis Boutsikaris|Jenn Liu|Roberta Maxwell|Bettina Skye|Angela Lin|Susan-Kate Heaney|Paul Urcioli|Yvette Mercedes|Peter Sabri|Fatima Mai|Denis Silvestri|Mike Nojun Park,English,"Warwick, New York, USA"
Rise of the Animals (2011),Adventure| Comedy| Horror,01-05-2012,USA,3.6,70 min,Greg Hoople|Stephanie Motta|Adam Schonberg|Nikki Preston|Charles Bigelow|Phillip Musumeci|Katie LeVander|Melissa Orioli|Laura Blank|Tricia Dalusio|Brittany Cerra|Renee Radwan|Justine Turner|Max Roth|Charlie Roth,English,"Rochester, New York, USA"
Dark Medicine (2013),Horror| Sci-Fi,01-01-2013,USA,2.8,72 min,Ola Akinroluyo|Byron Baudo|Josh Bednarsky|Emily Brooks|Corey Browne|Shawn Calloway|Drew Chase|JinYoung Choi|Russ Kingston|Abbey Kochman|Nyell Leahy|Kelci C. Magel|Robert Maxwell|Tariq Nasheed|Rachelle Neal,English,"Atlanta, Georgia, USA"
Sexy Durga (2017),Drama| Fantasy| Horror| Mystery| Thriller,21-03-2017,USA,5.9,85 min,Rajshri Deshpande|Bilas Nair|Arun Sol|Sujish|Vedh,Malayalam,"Thiruvananthapuram, Kerala, India"
Circus of the Dead (2014),Action| Horror| Thriller,13-01-2017,USA,6,102 min,Bill Oberst Jr.|Parrish Randall|Chanel Ryan|Roger Edwards|Brad Potts|Ryan Clapp|Rusty Edwards|Mike Williams|Jed Duesler|Travis Steele|Steve Brooks|Jordan Bell|Madi Lane|Kyle Mueller|Sergio Gracida,English,"Odessa, Texas, USA"
Zombie Resurrection (2014),Horror,23-03-2015,UK,2.7,86 min,Eric Colvin|Jim Sweeney|Danny Brown|Simon Burbage|Jade Colucci|Joe Rainbow|Rachel Nottingham|Shamiso Mushambi|Georgia Winters|Rupert Phelps|Jamie Frampton|Kate Korbel|Andy Bazire|Ian McIntyre|Jake Hawkins,English,"Hampshire, England, UK"
Falling (2016),Drama| Horror| Romance| Thriller,08-04-2016,USA,7.1,105 min,Josh Helman|Yael Stone|Jennifer Allcott|Paul Sorvino|Yvonne Cone|Slate Holmgren|Danny Lane|Melissa Almas|Sashah Askari|Marc Brockett|Paul Buckley|Laura Calhoun|Joe Caruso|Kallie Flynn Childress|Heather Delia,English,"Utica, New York, USA"
